species	map_50_95_mask_n_base	map_50_95_mask_n_weighted	map_50_95_mask_n_weighted_augment
All	0.918798327009404	0.930067746508355	0.928777649918766
Abies alba	0.987125	0.985219071251329	0.967649956534338
Acer campestre	0.897510200922266	0.888329281894576	0.934153333333333
Acer platanoides	0.843950561488217	0.812923054307219	0.800717393730394
Acer pseudoplatanus	0.90668028226292	0.929276366045887	0.962870171530462
Alnus spp	0.893741136221984	0.929308053830228	0.893409869219869
Betula spp	0.990852059496568	0.990686842105263	0.990929865361077
Carpinus betulus	0.918704787188079	0.929068827804534	0.943525296797088
Castanea sativa	0.859921764705882	0.913735983796297	0.935181944444444
Corylus avellana	0.995	0.995	0.995
Fagus sylvatica	0.972124276270937	0.974388545890942	0.975568753066236
Fraxinus excelsior	0.797346375301445	0.839200052194996	0.804926551465145
Juglans regia	0.870555405405405	0.885653658536585	0.857311111111111
Larix decidua	0.963550031839651	0.969330574696562	0.951384368484236
Picea abies	0.988278266687807	0.990055112222092	0.98797243002958
Pinus sylvestris	0.993428205128205	0.989231837606838	0.989108388704319
Populus spp	0.87075	0.953	0.963888888888889
Prunus avium	0.986969784029554	0.98147467297295	0.983628832116914
Pseudotsuga menziesii	0.978361659624803	0.984132594028577	0.969764533995298
Quercus rubra	0.686173623714458	0.692766666666667	0.697294685990338
Quercus spp	0.921321894631611	0.925184533966537	0.93149331823247
Robinia pseudoacacia	0.950519499506342	0.940860851772774	0.952183333333333
Salix spp	0.977132256097561	0.972288983050848	0.9356675
Tilia spp	0.88236445069261	0.920442605050472	0.938255421762757
