                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.30022,                0.42193,                 4.9029,                 1.3619,                0.27222,                0.46806,                0.26733,                0.22563,                0.27207,                0.46716,                0.26719,                0.25162,                0.23145,                0.16321,                 3.2825,                 1.1226,              0.0037685,              0.0037685,              0.0037685
                      2,                0.25392,                0.26372,                 3.4285,                 1.2307,                0.39457,                0.53966,                0.44147,                0.38511,                0.39457,                0.53966,                0.44142,                0.41649,                0.21053,                0.16588,                 2.6575,                 1.0885,              0.0075221,              0.0075221,              0.0075221
                      3,                0.26088,                0.25896,                 3.0606,                 1.2341,                0.45439,                0.49285,                0.49637,                0.42453,                0.45439,                0.49285,                0.49634,                0.45601,                0.22207,                0.18138,                  2.533,                 1.0493,               0.009934,               0.009934,               0.009934
                      4,                0.25546,                0.26006,                 2.7896,                 1.2294,                0.44844,                0.50805,                0.47286,                0.41763,                0.44844,                0.50805,                0.47261,                0.44936,                0.19438,                0.14431,                 2.7224,                 1.0116,               0.009934,               0.009934,               0.009934
                      5,                0.24783,                0.24997,                  2.556,                 1.2089,                0.59093,                0.63346,                0.64046,                  0.572,                0.59093,                0.63346,                0.64019,                0.61387,                0.18575,                0.15247,                 2.0124,                0.98728,              0.0099011,              0.0099011,              0.0099011
                      6,                0.24272,                0.24906,                 2.3635,                 1.2033,                0.57817,                0.62941,                0.66963,                0.60542,                0.57817,                0.62941,                0.66951,                0.64565,                0.17541,                0.15077,                 1.9279,                0.98002,              0.0098681,              0.0098681,              0.0098681
                      7,                0.23875,                0.24179,                 2.2181,                 1.1967,                0.63649,                0.70003,                 0.7139,                0.65192,                0.63649,                0.70003,                0.71379,                 0.6859,                0.17271,                0.14728,                 1.6113,                0.95471,              0.0098351,              0.0098351,              0.0098351
                      8,                0.23154,                0.24227,                 2.0744,                 1.1853,                0.60512,                0.65452,                0.69223,                0.63395,                0.60711,                0.65787,                0.69327,                0.66917,                0.16154,                0.15401,                 1.7214,                0.93129,              0.0098021,              0.0098021,              0.0098021
                      9,                0.23027,                0.23777,                 2.0178,                 1.1851,                0.67476,                0.71127,                0.75129,                0.68304,                0.67476,                0.71127,                0.75245,                0.72362,                0.17021,                0.14556,                 1.5042,                0.93605,              0.0097692,              0.0097692,              0.0097692
                     10,                0.23069,                0.23778,                 1.9083,                 1.1859,                0.71656,                0.64538,                 0.7461,                0.68802,                0.71656,                0.64538,                0.74611,                0.72582,                0.16118,                0.14853,                 1.5766,                0.92002,              0.0097362,              0.0097362,              0.0097362
                     11,                0.22483,                0.23593,                 1.8457,                 1.1812,                0.69116,                0.64905,                0.72961,                0.67453,                0.69116,                0.64905,                0.72952,                 0.7075,                0.15517,                0.15317,                 1.4716,                0.91113,              0.0097032,              0.0097032,              0.0097032
