                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67156,                0.84725,                 3.2306,                 1.0695,                0.31882,                0.37639,                0.27002,                0.23681,                0.31882,                0.37639,                 0.2696,                0.26079,                0.54309,                0.35499,                 1.9891,                0.91855,              0.0033246,              0.0033246,              0.0033246
                      2,                0.58288,                0.51081,                 2.0811,                 0.9839,                0.27362,                0.40281,                0.31898,                0.28333,                0.27362,                0.40281,                  0.319,                0.30898,                0.53751,                0.38697,                 1.8324,                0.90183,               0.006636,               0.006636,               0.006636
                      3,                0.62364,                0.51516,                 1.8813,                0.99472,                0.20841,                0.31423,                0.18503,                0.14748,                0.20808,                0.31349,                0.18487,                0.16458,                0.68885,                0.45027,                 2.8957,                0.99997,              0.0099253,              0.0099253,              0.0099253
                      4,                0.63218,                0.56314,                 1.7686,                 1.0001,                0.60229,                0.37675,                0.39106,                 0.3359,                0.60106,                0.37964,                0.39106,                 0.3697,                0.54576,                 0.4464,                 2.3403,                0.90258,               0.009901,               0.009901,               0.009901
                      5,                0.60013,                0.53228,                 1.5976,                0.98488,                0.41494,                 0.4488,                0.39806,                0.35317,                0.41494,                 0.4488,                0.39802,                0.37687,                 0.4903,                0.47065,                 1.8088,                0.81625,               0.009901,               0.009901,               0.009901
                      6,                0.57127,                0.51094,                 1.4459,                0.97376,                0.51115,                0.46697,                0.42382,                0.37682,                0.51307,                0.46617,                0.42432,                0.40533,                0.47273,                0.39221,                 1.6435,                0.82634,               0.009868,               0.009868,               0.009868
                      7,                0.54627,                0.49405,                 1.3565,                0.96515,                0.56772,                0.57995,                0.56311,                0.51436,                0.56772,                0.57995,                0.56289,                0.54039,                0.43236,                 0.3749,                 1.1685,                0.81001,               0.009835,               0.009835,               0.009835
                      8,                0.53277,                0.49111,                   1.27,                0.96073,                0.55893,                0.55205,                0.54086,                0.49402,                0.55893,                0.55205,                0.54075,                0.52037,                0.40483,                0.40649,                 1.1919,                 0.7789,               0.009802,               0.009802,               0.009802
                      9,                0.52559,                 0.5014,                 1.2231,                0.95901,                0.51592,                0.47176,                0.47581,                0.43877,                0.51592,                0.47176,                0.47557,                0.46151,                0.39871,                0.38481,                 1.5171,                0.77267,               0.009769,               0.009769,               0.009769
                     10,                0.51227,                0.47868,                 1.1573,                0.95433,                0.62281,                0.56738,                0.61284,                0.56355,                0.62281,                0.56738,                0.61215,                 0.5917,                0.37459,                0.34201,                 1.1172,                0.74463,               0.009736,               0.009736,               0.009736
