class_index	species	precision_box_n_base	recall_box_n_base	map_50_box_n_base	map_50_95_box_n_base	f1_box_n_base	precision_mask_n_base	recall_mask_n_base	map_50_mask_n_base	map_50_95_mask_n_base	f1_mask_n_base
all	all	0.9351160933716763	0.8582159384920582	0.9294367512456546	0.9058033482446742	0.8892860073238195	0.9351160933716763	0.8582159384920582	0.9294367512456546	0.9187983270094044	0.8892860073238195
0	abies_alba	0.962413779086641	0.96875	0.987125	0.9844090211697949	0.9655714948538856	0.962413779086641	0.96875	0.987125	0.9871250000000001	0.9655714948538856
1	acer_campestre	1.0	0.5872540165031457	0.9485652173913044	0.8823250691699605	0.73996223716846	1.0	0.5872540165031457	0.9485652173913044	0.8975102009222662	0.73996223716846
2	acer_platanoides	0.9119256026768809	0.6521739130434783	0.8455253732772308	0.8366505607752085	0.7604811365578665	0.9119256026768809	0.6521739130434783	0.8455253732772308	0.843950561488217	0.7604811365578665
3	acer_pseudoplatanus	0.915781720822023	0.7906976744186046	0.9066802822629195	0.8953275851528264	0.8486554000576566	0.915781720822023	0.7906976744186046	0.9066802822629195	0.9066802822629196	0.8486554000576566
4	alnus_spp	0.9793811857159144	0.8181818181818182	0.9164966555183945	0.9164966555183944	0.8915535950446165	0.9793811857159144	0.8181818181818182	0.9164966555183945	0.8937411362219845	0.8915535950446165
5	betula_spp	0.9769833690707234	1.0	0.995	0.9771676049939428	0.9883577012890626	0.9769833690707234	1.0	0.995	0.9908520594965676	0.9883577012890626
6	carpinus_betulus	0.9269360910136468	0.9038461538461539	0.9598506986861931	0.9124559749125518	0.9152455165830292	0.9269360910136468	0.9038461538461539	0.9598506986861931	0.9187047871880794	0.9152455165830292
7	castanea_sativa	0.9816826247072367	0.7222222222222222	0.8640519607843137	0.8531952689793865	0.8321978871187005	0.9816826247072367	0.7222222222222222	0.8640519607843137	0.8599217647058822	0.8321978871187005
8	corylus_avellana	0.8309852697296497	1.0	0.995	0.9949999999999999	0.9076919224504161	0.8309852697296497	1.0	0.995	0.9949999999999999	0.9076919224504161
9	fagus_sylvatica	0.9221202432409905	0.9864864864864865	0.9770298488701796	0.9670536136662733	0.9532180146957315	0.9221202432409905	0.9864864864864865	0.9770298488701796	0.9721242762709373	0.9532180146957315
10	fraxinus_excelsior	0.8406743981071475	0.7931034482758621	0.8174497324083849	0.7631992360888886	0.8161963580202789	0.8406743981071475	0.7931034482758621	0.8174497324083849	0.7973463753014454	0.8161963580202789
11	juglans_regia	0.9452517544775804	0.75	0.8705554054054054	0.7889494594594595	0.8363817515430403	0.9452517544775804	0.75	0.8705554054054054	0.8705554054054054	0.8363817515430403
12	larix_decidua	0.9620644690436209	0.9130434782608695	0.9774867460261359	0.9611455822953328	0.9369131951997894	0.9620644690436209	0.9130434782608695	0.9774867460261359	0.9635500318396509	0.9369131951997894
13	picea_abies	0.9918162838128216	1.0	0.995	0.9816014608107393	0.9958913298110442	0.9918162838128216	1.0	0.995	0.9882782666878072	0.9958913298110442
14	pinus_sylvestris	1.0	0.9279149987685807	0.995	0.9917097613091516	0.9626098654362552	1.0	0.9279149987685807	0.995	0.9934282051282052	0.9626098654362552
15	populus_spp	1.0	0.7744336474368345	0.8707500000000001	0.8246375	0.8728798042750172	1.0	0.7744336474368345	0.8707500000000001	0.8707500000000001	0.8728798042750172
16	prunus_avium	0.9933000337734599	1.0	0.995	0.9789884220354809	0.996638756778699	0.9933000337734599	1.0	0.995	0.9869697840295538	0.996638756778699
17	pseudotsuga_menziesii	0.9904905937059024	0.9469118904244913	0.9817485818085605	0.9636478854731847	0.9682111262025289	0.9904905937059024	0.9469118904244913	0.9817485818085605	0.9783616596248035	0.9682111262025289
18	quercus_rubra	0.7402101535882732	0.5	0.6861736237144584	0.6861736237144583	0.5968425201540555	0.7402101535882732	0.5	0.6861736237144584	0.6861736237144583	0.5968425201540555
19	quercus_spp	0.9189830962354363	0.9197211353753858	0.9467401092970572	0.9217116418167409	0.919351967684315	0.9189830962354363	0.9197211353753858	0.9467401092970572	0.9213218946316107	0.919351967684315
20	robinia_pseudoacacia	0.9280289460241331	0.9047619047619048	0.96	0.9450131588440799	0.916247739363032	0.9280289460241331	0.9047619047619048	0.96	0.9505194995063416	0.916247739363032
21	salix_spp	0.9795880844912485	1.0	0.995	0.9357004268292682	0.9896888066418135	0.9795880844912485	1.0	0.995	0.977132256097561	0.9896888066418135
22	tilia_spp	0.8090524482252284	0.8794637973115014	0.8908160431995136	0.8709174966123866	0.8427900415185535	0.8090524482252284	0.8794637973115014	0.8908160431995136	0.8823644506926099	0.8427900415185535
