class_index	species	precision_box_n_weighted_augment	recall_box_n_weighted_augment	map_50_box_n_weighted_augment	map_50_95_box_n_weighted_augment	f1_box_n_weighted_augment	precision_mask_n_weighted_augment	recall_mask_n_weighted_augment	map_50_mask_n_weighted_augment	map_50_95_mask_n_weighted_augment	f1_mask_n_weighted_augment
all	all	0.9262403824190827	0.8719627731153877	0.9380636512166649	0.9169531499290289	0.8916735312021654	0.9262403824190827	0.8719627731153877	0.9380636512166649	0.9287776499187664	0.8916735312021654
0	abies_alba	0.9392685946328788	0.875	0.9676499565343378	0.964777750079836	0.9059959729612959	0.9392685946328788	0.875	0.9676499565343378	0.9676499565343379	0.9059959729612959
1	acer_campestre	0.8605241778445252	0.8461538461538461	0.952888888888889	0.9277271111111112	0.8532785124702773	0.8605241778445252	0.8461538461538461	0.952888888888889	0.9341533333333334	0.8532785124702773
2	acer_platanoides	0.8878619423585598	0.688820746993898	0.8024556200300881	0.8024556200300881	0.775777815654272	0.8878619423585598	0.688820746993898	0.8024556200300881	0.800717393730394	0.775777815654272
3	acer_pseudoplatanus	0.9452728787830077	0.8035287737089098	0.9628701715304623	0.9536839968324848	0.8686564951794172	0.9452728787830077	0.8035287737089098	0.9628701715304623	0.9628701715304622	0.8686564951794172
4	alnus_spp	0.8625739788497473	0.8561996701300492	0.9136001456001457	0.8987814697814699	0.8593750044891442	0.8625739788497473	0.8561996701300492	0.9136001456001457	0.8934098692198692	0.8593750044891442
5	betula_spp	0.9884746250875378	1.0	0.995	0.9737520537835695	0.994203911497259	0.9884746250875378	1.0	0.995	0.9909298653610771	0.994203911497259
6	carpinus_betulus	0.979931330850309	0.9390723189087925	0.9723633659658695	0.9304681651255136	0.9590668442433632	0.979931330850309	0.9390723189087925	0.9723633659658695	0.9435252967970875	0.9590668442433632
7	castanea_sativa	0.9626970243435801	0.6666666666666666	0.9351819444444445	0.9236850833333333	0.7877897608374006	0.9626970243435801	0.6666666666666666	0.9351819444444445	0.9351819444444445	0.7877897608374006
8	corylus_avellana	0.8748332342094125	1.0	0.995	0.9949999999999999	0.9332384536892593	0.8748332342094125	1.0	0.995	0.9949999999999999	0.9332384536892593
9	fagus_sylvatica	0.95075427289013	0.9131431132306763	0.9777432828767305	0.9625492033279865	0.931569219560021	0.95075427289013	0.9131431132306763	0.9777432828767305	0.975568753066236	0.931569219560021
10	fraxinus_excelsior	0.7768678257187247	0.8406545966156401	0.828030494295287	0.7922434089330433	0.807503499964767	0.7768678257187247	0.8406545966156401	0.828030494295287	0.8049265514651454	0.807503499964767
11	juglans_regia	0.7683721298996217	0.875	0.8573111111111111	0.78440547008547	0.8182268658812354	0.7683721298996217	0.875	0.8573111111111111	0.857311111111111	0.8182268658812354
12	larix_decidua	0.959749904645111	0.9565217391304348	0.96412224889956	0.9472597352625263	0.958133102791912	0.959749904645111	0.9565217391304348	0.96412224889956	0.9513843684842358	0.958133102791912
13	picea_abies	0.9811083726272404	1.0	0.995	0.9820248462417471	0.9904641120931175	0.9811083726272404	1.0	0.995	0.9879724300295797	0.9904641120931175
14	pinus_sylvestris	1.0	0.956987920929767	0.9933673469387755	0.9849228049359278	0.9780212853588807	1.0	0.956987920929767	0.9933673469387755	0.9891083887043189	0.9780212853588807
15	populus_spp	0.8203101715831345	0.8571428571428571	0.9638888888888889	0.9497559139784947	0.8383221373991376	0.8203101715831345	0.8571428571428571	0.9638888888888889	0.9638888888888889	0.8383221373991376
16	prunus_avium	0.9647176836012701	1.0	0.9918085106382979	0.9674565142757467	0.9820420426338005	0.9647176836012701	1.0	0.9918085106382979	0.9836288321169139	0.9820420426338005
17	pseudotsuga_menziesii	0.9628762157455636	0.9431762480812131	0.9785763510835348	0.9536554914703391	0.9529244275996714	0.9628762157455636	0.9431762480812131	0.9785763510835348	0.9697645339952979	0.9529244275996714
18	quercus_rubra	1.0	0.4426090150877452	0.6972946859903382	0.6972946859903381	0.6136229712398185	1.0	0.4426090150877452	0.6972946859903382	0.6972946859903381	0.6136229712398185
19	quercus_spp	0.9697038313221963	0.8650698790996761	0.9608712648299369	0.9393403513839361	0.9144033090941818	0.9697038313221963	0.8650698790996761	0.9608712648299369	0.9314933182324697	0.9144033090941818
20	robinia_pseudoacacia	0.9934831557187724	0.9523809523809523	0.9616666666666666	0.9424225490196079	0.9724979561310532	0.9934831557187724	0.9523809523809523	0.9616666666666666	0.9521833333333334	0.9724979561310532
21	salix_spp	0.999711421435795	0.9090909090909091	0.9668749999999999	0.8852675	0.9522500579626334	0.999711421435795	0.9090909090909091	0.9668749999999999	0.9356674999999999	0.9522500579626334
22	tilia_spp	0.8544360234917869	0.8679245283018868	0.9418980327699298	0.9309927233850963	0.8611274589178882	0.8544360234917869	0.8679245283018868	0.9418980327699298	0.938255421762757	0.8611274589178882
