class_index	species	precision_box_n_weighted	recall_box_n_weighted	map_50_box_n_weighted	map_50_95_box_n_weighted	f1_box_n_weighted	precision_mask_n_weighted	recall_mask_n_weighted	map_50_mask_n_weighted	map_50_95_mask_n_weighted	f1_mask_n_weighted
all	all	0.905298038390592	0.8920080806376984	0.9403883614823919	0.9188123268488929	0.8932393397266003	0.905298038390592	0.8920080806376984	0.9405503904678991	0.9300677465083553	0.8932393397266003
0	abies_alba	0.9256048855457034	0.9375	0.9852190712513292	0.981214630636639	0.9315144702064712	0.9256048855457034	0.9375	0.9852190712513292	0.9852190712513293	0.9315144702064712
1	acer_campestre	0.9861470674922934	0.8461538461538461	0.9170705882352942	0.8681185327540109	0.9108025082752199	0.9861470674922934	0.8461538461538461	0.9170705882352942	0.8883292818945758	0.9108025082752199
2	acer_platanoides	0.7568385534924044	0.5652173913043478	0.8144025156909057	0.8041603009181646	0.6471410147613653	0.7568385534924044	0.5652173913043478	0.8144025156909057	0.812923054307219	0.6471410147613653
3	acer_pseudoplatanus	0.849268907155275	0.813953488372093	0.9292763660458873	0.9207571383259214	0.8312362693093819	0.849268907155275	0.813953488372093	0.9292763660458873	0.9292763660458873	0.8312362693093819
4	alnus_spp	0.9411138373969168	0.9090909090909091	0.9539855072463768	0.9539855072463765	0.9248252504175776	0.9411138373969168	0.9090909090909091	0.9539855072463768	0.9293080538302277	0.9248252504175776
5	betula_spp	0.9297565228426988	1.0	0.995	0.9740805111225777	0.9635998239540466	0.9297565228426988	1.0	0.995	0.9906868421052633	0.9635998239540466
6	carpinus_betulus	0.9307963962283745	0.8653846153846154	0.9596384196631557	0.907538583511745	0.896899450716421	0.9307963962283745	0.8653846153846154	0.9633650863298223	0.9290688278045339	0.896899450716421
7	castanea_sativa	0.8828728766066322	0.8377527844897067	0.9243940972222224	0.9108036954365082	0.859721236816113	0.8828728766066322	0.8377527844897067	0.9243940972222224	0.9137359837962965	0.859721236816113
8	corylus_avellana	0.9373848368005947	1.0	0.995	0.9949999999999999	0.9676805753766462	0.9373848368005947	1.0	0.995	0.9949999999999999	0.9676805753766462
9	fagus_sylvatica	0.8890347322684042	0.9864864864864865	0.9789175297512546	0.9594442573221016	0.9352288213322837	0.8890347322684042	0.9864864864864865	0.9789175297512546	0.9743885458909416	0.9352288213322837
10	fraxinus_excelsior	0.8081171977352095	0.8715647135248726	0.8632905657264586	0.81160068329368	0.8386426372958097	0.8081171977352095	0.8715647135248726	0.8632905657264586	0.8392000521949958	0.8386426372958097
11	juglans_regia	0.9206066481586386	0.875	0.8856536585365854	0.813769430894309	0.8972241420077895	0.9206066481586386	0.875	0.8856536585365854	0.8856536585365854	0.8972241420077895
12	larix_decidua	0.9598914006121024	0.9782608695652174	0.9800607926125432	0.9623303238992775	0.968989083778293	0.9598914006121024	0.9782608695652174	0.9800607926125432	0.9693305746965617	0.968989083778293
13	picea_abies	0.9578848634003794	1.0	0.9942980295566503	0.982355148072104	0.9784894722938525	0.9578848634003794	1.0	0.9942980295566503	0.9900551122220917	0.9784894722938525
14	pinus_sylvestris	0.9922557518311433	1.0	0.995	0.9921129198966409	0.9961128242888803	0.9922557518311433	1.0	0.995	0.9892318376068376	0.9961128242888803
15	populus_spp	0.768987561012853	0.8571428571428571	0.9529999999999998	0.9393639999999998	0.8106756847970835	0.768987561012853	0.8571428571428571	0.9529999999999998	0.9529999999999997	0.8106756847970835
16	prunus_avium	0.9628701993882258	1.0	0.995	0.9771159234866232	0.9810839246408924	0.9628701993882258	1.0	0.995	0.9814746729729504	0.9810839246408924
17	pseudotsuga_menziesii	0.9808760089894449	0.9325728098397249	0.9893676446671763	0.968528564785083	0.9561147252084704	0.9808760089894449	0.9325728098397249	0.9893676446671763	0.984132594028577	0.9561147252084704
18	quercus_rubra	0.993920940691659	0.5	0.6927666666666665	0.6927666666666665	0.6653102675108706	0.993920940691659	0.5	0.6927666666666665	0.6927666666666665	0.6653102675108706
19	quercus_spp	0.9191103811006975	0.9213121961911507	0.9649281865989068	0.9423895793296408	0.9202099715599047	0.9191103811006975	0.9213121961911507	0.9649281865989068	0.9251845339665368	0.9202099715599047
20	robinia_pseudoacacia	0.832357468322215	0.9523809523809523	0.9502788561076604	0.9323131971402692	0.8883334265755157	0.832357468322215	0.9523809523809523	0.9502788561076604	0.9408608517727742	0.8883334265755157
21	salix_spp	0.844530081994949	1.0	0.9875	0.9211539830508476	0.9157129940451268	0.844530081994949	1.0	0.9875	0.9722889830508477	0.9157129940451268
22	tilia_spp	0.8516277639167997	0.8664119347402849	0.9248838185159357	0.9217799397353508	0.8589562385437889	0.8516277639167997	0.8664119347402849	0.9248838185159357	0.9204426050504722	0.8589562385437889
